category,subcategory,year,sort_date,title,authors,venue,details,url
journal,査読付き論文,2026,2026-07-28,Data-driven catalyst design for direct catalytic N2O decomposition,"He C, Mine S, Jing Y, Wan TL, Zhang J, Qin J, Zhang N, Taketoshi K, Anzai A, Toyoshima R, Kondoh H, Takigawa I*, Shimizu K*, Toyao T*",Nature Communications,"2026; 17, 9159",https://doi.org/10.1038/s41467-026-75902-z
journal,査読付き論文,2026,2026-07-14,Machine Learning-Assisted Development of High-Performance Ethanol Synthesis Catalysts via CO2 Hydrogenation,"Du P, Ait El Fakir A, Mine S, Yang B, Pan H, He C, Dostagir NHM, Ando Y, Fischer JWA, Anzai A, Allison G, Toyoshima R, Kondoh H, Zhou W, Copéret C, Takigawa I*, Shimizu K*, Toyao T*",Journal of the American Chemical Society,"2026; 148(29), 31154-31170",https://doi.org/10.1021/jacs.6c06886
journal,査読付き論文,2026,2026-04-22,Machine-learning-guided discovery of CH4 combustion catalysts operating in the presence of SO2,"Jing Y, Ting KW, Qin J, Yamada K, Tajima D, Anzai A, Mine S*, Toyoshima R, Kondoh H, Takigawa I*, Shimizu K, Toyao T*",Journal of the American Chemical Society,"2026; 148(15), 16241–16254",https://doi.org/10.1021/jacs.6c01560
journal,査読付き論文,2026,2026-05-01,Machine-learning-guided discovery and statistical analysis of multielemental reverse water-gas shift catalysts,"Chen D, Mine S, Wang G, Takigawa I*, Anzai A, Shimizu K*, Toyao T*",ACS Catalysis,"2026; 16(5), 5080-5092",https://doi.org/10.1021/acscatal.5c09278
journal,査読付き論文,2025,2025-12-31,Extrapolative-machine-learning-guided discovery of multi-elemental heterogeneous catalysts for low-temperature NO reduction by H2,"Jing Y, Zhang C, Mine S, Zhang X, He C, Zhang N, Guao X, Anzai A, Oka K, Toyoshima R, Kondoh H, Takigawa I*, Shimizu K*, Toyao T*",ACS Catalysis,"2025; 15(24), 20825-20842",https://doi.org/10.1021/acscatal.5c06074
journal,査読付き論文,2025,2025-12-31,Development of highly active catalysts for low-temperature CO2 hydrogenation to methanol using a machine learning approach,"Zhao S, Mine S, Wang G, Zhang W, Ait El Fakir A, Yang B, Qin Z, Dostagir NHM, Matsushita K, Takigawa I*, Shimizu K*, Toyao T*",Journal of the American Chemical Society,"2025; 34, 31121-31135",https://doi.org/10.1021/jacs.5c09727
journal,査読付き論文,2025,2025-12-31,Data-driven de novo design of super-adhesive hydrogels,"Liao H, Hu S, Yang H, Wang L, Tanaka S, Takigawa I*, Li W*, Fan H*, Gong JP*",Nature,"2025; 644, 89-95",https://doi.org/10.1038/s41586-025-09269-4
journal,査読付き論文,2025,2025-12-31,Image-Based machine learning using inkjet-printed chemicals: mixing ratio prediction and metal ion detection,"Sano T, Terauchi Y, Ide Y*, Takigawa I*, Inokuma Y*",Organic Letters,"2025; 27(32), 8841-8845",https://doi.org/10.1021/acs.orglett.5c02270
journal,査読付き論文,2025,2025-12-31,Fast enumeration of all cost-bounded solutions for combinatorial problems using ZDDs,"Minato S, Kawahara J, Banbara M, Horiyama T, Takigawa I, Yamaguchi Y",Discrete Applied Mathematics,"2025; 360, 467-486",https://doi.org/10.1016/j.dam.2024.10.003
conference,国際会議論文,2025,2025-12-06,CompGen: A Conditional Generation Framework for Inverse Composition Design of Catalytic Surfaces,"Chen S, Sun C, Liu Z, Han A, Takigawa I, Qian Q","NeurIPS 2025 Workshop on AI for Science","San Diego, USA, December 6, 2025",
conference,国際会議論文,2025,2025-12-06,CompGen: A Conditional Generation Framework for Inverse Composition Design of Catalytic Surfaces,"Chen S, Sun C, Liu Z, Han A, Takigawa I, Qian Q","NeurIPS 2025 Workshop on AI for Accelerated Materials Design (AI4Mat)","San Diego, USA, December 6, 2025",
conference,国際会議論文,2025,2025-06-23,C2Explainer: Customizable Mask-based Counterfactual Explanation for Graph Neural Networks,"Ma J, Takigawa I, Yamamoto A","ACM Conference on Fairness, Accountability, and Transparency (FAccT '25)","Athens, Greece, June 23-26, 2025",
thesis,2025年度卒業論文,2025,2025-03-31,構造化メモリ拡張を伴うニューラルネットワークにおける設計戦略の体系化と評価,"海野智行",2025年度卒業論文（理学部生物情報科学科）,,
thesis,2025年度卒業論文,2025,2025-03-31,モデルサイズ制約下での確率的勾配ブースティング決定木の分析と設計,"西岡賢太郎",2025年度卒業論文（理学部生物情報科学科）,,
talk,学会発表,2026,2026-03-09,ニューラルネットワークの構造化メモリ拡張によるプログラム推論の体系的評価,"海野智行・瀧川一学","第207回 情報処理学会アルゴリズム研究会(SIGAL)","2026年3月9日, 岡山大学 創立五十周年記念館（岡山県岡山市）",https://jglobal.jst.go.jp/en/detail?JGLOBAL_ID=202602237474867309
talk,学会発表,2026,2026-03-09,モデルサイズ制約下での確率的勾配ブースティング決定木の分析と設計,"西岡賢太郎・瀧川一学","第207回 情報処理学会アルゴリズム研究会(SIGAL)","2026年3月9日, 岡山大学 創立五十周年記念館（岡山県岡山市）",https://jglobal.jst.go.jp/en/detail?JGLOBAL_ID=202602270922995491
talk,学会発表,2026,2026-06-10,Developing Embedding Models for Cytochrome P450–Ligand Interaction Scoring,"Martin, Takigawa, I.","2026年度 人工知能学会全国大会（第40回）",2026年6月10日,https://pub.confit.atlas.jp/en/event/jsai2026/presentation/3O1-GS-10v-04
talk,学会発表,2026,2026-06-08,アルゴリズム的系列学習におけるメモリ拡張ニューラルネットワーク設計の体系的検証,"海野智行・瀧川一学","2026年度 人工知能学会全国大会（第40回）","2026年6月8日-6月12日",https://pub.confit.atlas.jp/ja/event/jsai2026/presentation/4M4-GS-2e-06
talk,学会発表,2025,2025-12-10,Developing Embedding Models for Cytochrome P450-Ligand Interaction Scoring,"Martin, Takigawa, I.","GIW XXXIV ISCB-Asia 2025","Hong Kong, China, December 10-13, 2025 (Poster)",
talk,学会発表,2025,2025-11-26,Developing Embedding Models for Cytochrome P450-Ligand Interaction Scoring,"Martin, Takigawa, I.","48th Chemoinformatics Symposium","Hiroshima, Japan, November 26-27, 2025 (Poster)",
talk,学会発表,2025,2025-11-18,Developing Embedding Models for Cytochrome P450-Ligand Interaction Scoring,"Martin, Takigawa, I.","8th Autumn School of Chemoinformatics","Nara, Japan, November 18-20, 2025 (Poster)",
talk,学会発表,2025,2025-10-27,Developing Embedding Models for Cytochrome P450-Ligand Interaction Scoring,"Martin, Takigawa, I.","Chem-Bio Informatics Society (CBI) Annual Meeting 2025","Tokyo, Japan, October 27-30, 2025 (Oral)",
talk,学会発表,2025,2025-09-03,Developing Embedding Models for Cytochrome P450-Ligand Interaction Scoring,"Martin, Takigawa, I.","2025年日本バイオインフォマティクス学会年会第13回生命医薬情報学連合大会（IIBMP2025）","Chiba, Japan, September 3-5, 2025 (Poster)",
